,meanHQ,meanER,Month,TITAN COMPANY LIMITEDHQ,WIPRO LTD.ER,NTPC LTD.ER,MAHINDRA & MAHINDRA LTD.ER_x,ASIAN PAINTS LTD.ER,LARSEN & TOUBRO LTD.ER,BRITANNIA INDUSTRIES LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER,GODREJ CONSUMER PRODUCTS LTD.ER,MAHINDRA & MAHINDRA LTD.ER_y,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,TATA CONSULTANCY SERVICES LTD.ER,RELIANCE INDUSTRIES LTD.ER,COAL INDIA LTD.ER
33,15.66,6.373194727663172,November-2016,15.66,-0.02,-7.87,10.02,9.81,6.37,8.3,-9.75,9.46,10.02,8.81,9.5,4.92,5.56,5.46
34,-1.15,0.568700798573733,December-2016,-1.15,-1.91,-0.95,0.13,8.09,2.4,5.12,4.45,-4.12,0.13,-1.66,9.69,-3.74,-8.8,2.66
35,-11.37,-6.0252545734347045,January-2017,-11.37,3.57,-4.89,-4.64,-8.91,-7.07,-8.5,-12.59,-4.57,-4.64,-13.1,-13.8,5.59,3.4,-3.3
36,-20.36,-6.317649190475181,February-2017,-20.36,-6.87,5.59,-5.45,-5.53,-1.77,-3.26,7.04,-4.41,-5.45,-4.9,-2.13,-10.61,-18.67,-3.84
37,-5.65,-2.8443705213774053,March-2017,-5.65,-5.5,-1.75,1.7,-4.56,-7.3,-4.76,-2.71,-1.17,1.7,-7.27,-5.77,1.44,-6.54,9.01
38,-2.16,-2.6385946064743053,April-2017,-2.16,4.12,0.93,-3.88,-4.52,-10.8,-7.23,-5.27,-4.36,-3.88,-2.52,-6.25,6.54,-5.73,5.45
39,-0.73,-1.866589356495254,May-2017,-0.73,-8.71,2.65,-6.13,-2.95,-0.67,2.6,-0.1,-3.92,-6.13,-2.39,0.99,-11.98,3.89,4.89
40,-10.3,6.7461968899569165,June-2017,-10.3,51.83,1.0,4.85,4.2,4.09,-4.57,-1.32,46.7,4.85,-0.03,5.57,7.07,-2.96,7.25
41,-3.74,-3.9760803453678863,July-2017,-3.74,-11.69,-3.57,-4.03,-5.01,29.37,-6.15,-5.94,-7.21,-4.03,-10.93,-2.44,-5.49,-16.92,-2.03
42,-13.51,-0.6424890095737952,August-2017,-13.51,-3.48,-2.8,4.08,-0.75,4.71,-7.41,2.11,10.29,4.08,-0.9,1.51,-0.11,1.26,4.48
43,5.5,4.999477736106258,September-2017,5.5,6.05,0.86,6.77,4.37,-0.46,-3.12,3.53,1.35,6.77,-1.36,3.64,2.39,50.92,-13.7
44,-8.86,-7.01179659169401,October-2017,-8.86,-4.64,-7.92,-7.28,-5.7,-6.96,-7.03,-1.0,-2.04,-7.28,3.1,-14.24,-7.36,-20.28,-5.82
45,-29.13,-3.777158449772089,November-2017,-29.13,0.75,-0.22,-4.87,2.79,0.31,-2.87,3.2,-2.89,-4.87,-2.12,4.32,-0.69,1.93,3.54
46,-4.51,4.729272454845452,December-2017,-4.51,-7.4,2.05,46.75,-0.88,-3.3,1.4,2.72,-3.93,46.75,0.68,-2.61,-2.51,0.17,4.78
47,-1.52,-3.200149385391224,January-2018,-1.52,2.79,3.92,-1.65,2.32,-12.7,0.92,3.42,-5.4,-1.65,-6.3,-1.37,-15.23,-4.35,-13.54
48,6.11,2.248569629512849,February-2018,6.11,3.89,4.11,4.55,1.08,6.88,-6.68,-2.56,-1.44,4.55,4.24,5.16,2.36,0.91,-3.67
49,-15.35,-0.8630923999538298,March-2018,-15.35,3.88,-3.95,-1.57,-0.17,0.55,0.27,2.32,-2.27,-1.57,-6.89,4.96,6.22,7.31,8.42
50,-4.23,-7.628146695176713,April-2018,-4.23,0.96,-1.38,-17.89,-7.09,-6.76,-10.77,-7.12,-2.21,-17.89,-5.71,-4.11,-23.94,-9.1,-0.12
51,8.12,3.418864236403502,May-2018,8.12,6.04,2.96,-5.83,-8.79,2.36,-7.7,-0.63,-2.24,-5.83,-2.62,9.13,50.59,4.34,-3.75
52,2.5,1.3415050611838462,June-2018,2.5,0.19,4.49,2.89,3.18,7.04,-4.48,10.67,-7.27,2.89,0.45,-1.8,-5.87,-5.61,10.22
53,-3.6,-5.3544155784639145,July-2018,-3.6,-5.89,2.7,-4.14,-14.57,-2.46,-5.38,2.38,-7.65,-4.14,-2.84,-10.2,-5.09,-21.88,1.02
54,2.17,-4.19157408168374,August-2018,2.17,-8.98,-10.12,-3.36,5.33,-5.11,-3.11,-10.1,-9.75,-3.36,4.54,-6.69,-7.05,-4.65,-9.32
55,9.57,8.548129467814718,September-2018,9.57,-7.48,2.49,10.83,5.62,7.48,13.85,6.06,46.91,10.83,11.39,9.27,-5.12,-1.39,6.73
56,-4.79,5.271184442359208,October-2018,-4.79,-2.25,4.08,11.31,5.16,-2.5,2.87,1.46,5.71,11.31,15.57,13.73,11.3,15.64,0.26
57,-9.67,-1.3163039667179093,November-2018,-9.67,2.01,12.42,-3.52,-9.59,-10.11,43.93,3.02,-3.59,-3.52,-14.54,-14.12,-1.7,-10.06,8.21
58,-0.46,-1.353771761035768,December-2018,-0.46,-1.66,-6.22,-1.71,-2.14,-0.62,1.29,-10.49,-8.42,-1.71,1.99,-0.25,3.91,4.04,1.45
59,-7.04,2.5221493159591413,January-2019,-7.04,-11.82,5.89,15.29,-2.84,8.7,-2.49,5.2,12.86,15.29,5.88,12.04,-6.39,-9.46,6.48
60,-3.17,0.6402192820150102,February-2019,-3.17,-0.19,-1.18,5.03,0.54,1.44,4.26,3.23,5.15,5.03,2.13,-8.72,1.51,-0.36,-1.42
61,-2.6,-0.8233672729236415,March-2019,-2.6,30.68,-7.63,-3.62,1.53,-3.39,-0.13,-2.49,-5.23,-3.62,-3.08,-3.66,-1.92,-2.85,-2.69
