,meanHQ,meanER,Month,SHREE CEMENT LTD.HQ,HINDUSTAN ZINC LTD.HQ,BOSCH LTD.ER_x,HERO MOTOCORP LTD.ER,BHARTI AIRTEL LTD.ER,VEDANTA LIMITEDER_x,BAJAJ AUTO LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER_x,BAJAJ FINANCE LIMITEDER,STATE BANK OF INDIAER_x,ICICI BANK LTD.ER_x,POWER GRID CORPORATION OF INDIA LTD.ER,TATA STEEL LTD.ER_x,INDIAN OIL CORPORATION LTD.ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.ER_x,TATA STEEL LTD.ER_y,JSW STEEL LTD.ER_x,COAL INDIA LTD.ER_x,BAJAJ FINSERV LTD.ER_y,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER_x,DABUR INDIA LTD.ER_x,NTPC LTD.ER_x,HCL TECHNOLOGIES LTD.ER_x,HCL TECHNOLOGIES LTD.ER_y,DABUR INDIA LTD.ER_y,NTPC LTD.ER_y,HCL TECHNOLOGIES LTD.ER_x,DABUR INDIA LTD.ER,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER_y,TATA STEEL LTD.ER_x,JSW STEEL LTD.ER_y,COAL INDIA LTD.ER_y,BOSCH LTD.ER_y,WIPRO LTD.ER_x,INFOSYS LTD.ER_x,BHARTI INFRATEL LTD.ER_x,HCL TECHNOLOGIES LTD.ER_x,MARUTI SUZUKI INDIA LTD.ER_x,TATA STEEL LTD.ER_y,PIDILITE INDUSTRIES LTD.ER_x,VEDANTA LIMITEDER_y,JSW STEEL LTD.ER_x,GODREJ CONSUMER PRODUCTS LTD.ER_x,BHARAT PETROLEUM CORPORATION LTD.ER_x,ASIAN PAINTS LTD.ER_x,KOTAK MAHINDRA BANK LTD.ER_x,STATE BANK OF INDIAER_y,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER_y,HINDUSTAN UNILEVER LTD.ER_x,RELIANCE INDUSTRIES LTD.ER_x,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.ER_y,SUN PHARMACEUTICAL INDUSTRIES LTD.ER_x,AXIS BANK LTD.ER_x,ICICI BANK LTD.ER_y,ITC LTD.ER_x,HINDUSTAN ZINC LTD.ER_x,BOSCH LTD.ER,WIPRO LTD.ER_y,INFOSYS LTD.ER_y,BHARTI INFRATEL LTD.ER_y,HCL TECHNOLOGIES LTD.ER_y,MARUTI SUZUKI INDIA LTD.ER_y,TATA STEEL LTD.ER,PIDILITE INDUSTRIES LTD.ER_y,VEDANTA LIMITEDER,JSW STEEL LTD.ER_y,GODREJ CONSUMER PRODUCTS LTD.ER_y,BHARAT PETROLEUM CORPORATION LTD.ER_y,ASIAN PAINTS LTD.ER_y,KOTAK MAHINDRA BANK LTD.ER_y,STATE BANK OF INDIAER,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER,HINDUSTAN UNILEVER LTD.ER_y,RELIANCE INDUSTRIES LTD.ER_y,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.ER,SUN PHARMACEUTICAL INDUSTRIES LTD.ER_y,AXIS BANK LTD.ER_y,ICICI BANK LTD.ER,ITC LTD.ER_y,HINDUSTAN ZINC LTD.ER_y
10,-4.67,5.04656543505122,December-2014,-4.88,-4.25,-2.66,1.23,7.62,7.44,7.62,-6.79,-7.28,-14.01,-12.89,2.99,79.88,2.88,15.62,9.08,-9.7,15.62,12.91,-8.17,-14.01,2.16,3.13,-1.05,3.98,3.98,3.13,-1.05,3.98,3.13,-1.05,3.98,15.62,12.91,-8.17,-2.66,5.41,54.78,-12.61,3.98,0.23,15.62,-18.05,7.44,12.91,-1.87,13.41,-1.08,-5.07,2.99,2.16,3.45,10.06,-9.7,1.6,-4.37,79.88,-1.49,-4.25,-2.66,5.41,54.78,-12.61,3.98,0.23,15.62,-18.05,7.44,12.91,-1.87,13.41,-1.08,-5.07,2.99,2.16,3.45,10.06,-9.7,1.6,-4.37,79.88,-1.49,-4.25
11,-11.81,-6.458175532051174,January-2015,-16.41,-2.61,-22.42,7.54,-5.64,5.77,2.01,-8.53,-17.54,-9.98,-16.16,0.59,-2.31,-7.17,2.23,-4.72,-6.92,2.23,6.7,5.97,-9.98,-11.51,-9.68,0.21,-12.42,-12.42,-9.68,0.21,-12.42,-9.68,0.21,-12.42,2.23,6.7,5.97,-22.42,-9.48,-8.7,-6.36,-12.42,-9.52,2.23,-5.0,5.77,6.7,-9.43,-15.55,-14.06,-4.57,0.59,-11.51,-22.82,-2.72,-6.92,-10.87,-17.26,-2.31,-0.05,-2.61,-22.42,-9.48,-8.7,-6.36,-12.42,-9.52,2.23,-5.0,5.77,6.7,-9.43,-15.55,-14.06,-4.57,0.59,-11.51,-22.82,-2.72,-6.92,-10.87,-17.26,-2.31,-0.05,-2.61
12,0.5566666666666666,-1.8906814798758924,February-2015,1.22,-0.77,-8.6,6.51,4.17,-7.86,9.52,-5.16,0.08,2.44,-7.88,2.71,4.32,-6.02,8.91,4.38,2.94,8.91,-3.43,-9.15,2.44,-5.57,-3.05,-8.31,-12.62,-12.62,-3.05,-8.31,-12.62,-3.05,-8.31,-12.62,8.91,-3.43,-9.15,-8.6,-8.73,-7.1,-2.7,-12.62,0.74,8.91,1.65,-7.86,-3.43,-6.54,0.11,4.56,-5.8,2.71,-5.57,2.47,5.36,2.94,0.54,-4.2,4.32,1.99,-0.77,-8.6,-8.73,-7.1,-2.7,-12.62,0.74,8.91,1.65,-7.86,-3.43,-6.54,0.11,4.56,-5.8,2.71,-5.57,2.47,5.36,2.94,0.54,-4.2,4.32,1.99,-0.77
13,3.0466666666666664,7.625362470248226,March-2015,0.51,8.12,1.91,1.49,-10.27,12.94,6.68,3.65,8.36,1.25,6.11,11.47,8.75,7.43,10.91,-10.92,6.79,10.91,10.21,7.99,1.25,1.86,-0.57,5.39,51.51,51.51,-0.57,5.39,51.51,-0.57,5.39,51.51,10.91,10.21,7.99,1.91,4.77,3.41,-4.65,51.51,-2.24,10.91,-7.25,12.94,10.21,7.98,-8.65,1.17,6.03,11.47,1.86,4.06,4.8,6.79,-12.21,8.64,8.75,9.91,8.12,1.91,4.77,3.41,-4.65,51.51,-2.24,10.91,-7.25,12.94,10.21,7.98,-8.65,1.17,6.03,11.47,1.86,4.06,4.8,6.79,-12.21,8.64,8.75,9.91,8.12
14,1.92,1.2467817145265252,April-2015,5.18,-4.6,11.34,11.85,3.11,-10.85,3.37,6.63,7.27,-2.77,2.12,-1.14,-5.06,2.0,-13.78,2.17,-3.1,-13.78,-2.72,-0.17,-2.77,10.82,5.09,-2.0,10.22,10.22,5.09,-2.0,10.22,5.09,-2.0,10.22,-13.78,-2.72,-0.17,11.34,14.22,12.37,-4.26,10.22,-0.89,-13.78,5.75,-10.85,-2.72,-1.6,5.46,5.67,-1.58,-1.14,10.82,2.68,-4.63,-3.1,8.1,-1.33,-5.06,0.98,-4.6,11.34,14.22,12.37,-4.26,10.22,-0.89,-13.78,5.75,-10.85,-2.72,-1.6,5.46,5.67,-1.58,-1.14,10.82,2.68,-4.63,-3.1,8.1,-1.33,-5.06,0.98,-4.6
15,-5.073333333333333,-3.2178970213729103,May-2015,-7.67,0.12,-5.11,-15.74,-11.44,6.33,-18.75,-6.16,-11.65,-6.66,-5.22,-3.0,4.21,-0.98,8.88,1.21,-1.9,8.88,1.76,-7.8,-6.66,-5.65,-7.5,9.05,-15.04,-15.04,-7.5,9.05,-15.04,-7.5,9.05,-15.04,8.88,1.76,-7.8,-5.11,-4.28,-4.12,-19.43,-15.04,-1.43,8.88,2.41,6.33,1.76,0.7,-10.95,-3.16,-4.97,-3.0,-5.65,-1.21,-1.66,-1.9,-2.8,-3.06,4.21,-1.4,0.12,-5.11,-4.28,-4.12,-19.43,-15.04,-1.43,8.88,2.41,6.33,1.76,0.7,-10.95,-3.16,-4.97,-3.0,-5.65,-1.21,-1.66,-1.9,-2.8,-3.06,4.21,-1.4,0.12
16,-1.5999999999999999,2.369205596779996,June-2015,-3.02,1.24,7.36,6.37,1.27,11.59,-9.53,0.3,-0.5,-0.2,-29.34,5.52,2.93,3.2,7.25,-8.05,4.87,7.25,4.79,-7.6,-0.2,-4.93,-3.53,-0.8,8.97,8.97,-3.53,-0.8,8.97,-3.53,-0.8,8.97,7.25,4.79,-7.6,7.36,3.11,51.28,6.82,8.97,-6.27,7.25,0.29,11.59,4.79,-17.21,-3.25,4.14,0.89,5.52,-4.93,-6.59,-14.06,4.87,9.48,4.55,2.93,3.58,1.24,7.36,3.11,51.28,6.82,8.97,-6.27,7.25,0.29,11.59,4.79,-17.21,-3.25,4.14,0.89,5.52,-4.93,-6.59,-14.06,4.87,9.48,4.55,2.93,3.58,1.24
17,1.6233333333333333,-0.2627458127618448,July-2015,-0.56,5.99,-12.45,-5.95,0.31,25.16,0.65,-12.1,-5.29,-20.95,-0.73,-2.89,1.79,-1.76,18.84,-12.13,-5.25,18.84,3.95,-4.33,-20.95,-3.29,-4.62,2.1,-8.2,-8.2,-4.62,2.1,-8.2,-4.62,2.1,-8.2,18.84,3.95,-4.33,-12.45,-4.59,-9.41,-0.34,-8.2,-7.65,18.84,-1.2,25.16,3.95,-11.35,-5.49,-16.83,49.87,-2.89,-3.29,-0.5,-0.12,-5.25,5.89,-2.7,1.79,-3.54,5.99,-12.45,-4.59,-9.41,-0.34,-8.2,-7.65,18.84,-1.2,25.16,3.95,-11.35,-5.49,-16.83,49.87,-2.89,-3.29,-0.5,-0.12,-5.25,5.89,-2.7,1.79,-3.54,5.99
18,9.806666666666667,5.992273085436867,August-2015,5.14,19.14,5.62,10.36,15.31,24.24,10.49,12.35,7.99,1.54,8.6,8.62,8.07,7.7,9.0,3.85,-9.4,9.0,-9.93,16.61,1.54,11.22,6.7,10.04,2.51,2.51,6.7,10.04,2.51,6.7,10.04,2.51,9.0,-9.93,16.61,5.62,-0.4,-1.59,10.8,2.51,3.76,9.0,-2.37,24.24,-9.93,2.59,4.52,3.73,6.43,8.62,11.22,6.47,14.46,-9.4,-9.11,11.69,8.07,0.28,19.14,5.62,-0.4,-1.59,10.8,2.51,3.76,9.0,-2.37,24.24,-9.93,2.59,4.52,3.73,6.43,8.62,11.22,6.47,14.46,-9.4,-9.11,11.69,8.07,0.28,19.14
19,-9.353333333333333,2.236105176161051,September-2015,-9.03,-10.0,16.58,0.07,4.65,13.69,-2.43,-9.96,7.53,4.75,-1.47,3.99,2.82,-1.15,5.84,3.03,15.56,5.84,3.54,10.88,4.75,-2.05,-0.95,-1.98,-1.09,-1.09,-0.95,-1.98,-1.09,-0.95,-1.98,-1.09,5.84,3.54,10.88,16.58,-4.5,-5.96,11.21,-1.09,-12.52,5.84,0.66,13.69,3.54,8.93,3.84,0.88,0.32,3.99,-2.05,5.59,-0.43,15.56,3.26,2.2,2.82,-1.11,-10.0,16.58,-4.5,-5.96,11.21,-1.09,-12.52,5.84,0.66,13.69,3.54,8.93,3.84,0.88,0.32,3.99,-2.05,5.59,-0.43,15.56,3.26,2.2,2.82,-1.11,-10.0
20,-7.25,-3.00783894593762,October-2015,-4.68,-12.39,-5.46,-7.9,-3.18,-17.51,-10.38,3.3,-7.61,-13.01,-2.29,0.02,-2.5,2.57,-16.45,0.75,1.27,-16.45,-2.65,2.02,-13.01,-3.62,2.21,-7.23,11.46,11.46,2.21,-7.23,11.46,2.21,-7.23,11.46,-16.45,-2.65,2.02,-5.46,3.99,2.1,-9.61,11.46,5.13,-16.45,1.01,-17.51,-2.65,-3.95,-2.5,1.47,-6.13,0.02,-3.62,1.41,-10.15,1.27,-2.37,4.16,-2.5,-1.76,-12.39,-5.46,3.99,2.1,-9.61,11.46,5.13,-16.45,1.01,-17.51,-2.65,-3.95,-2.5,1.47,-6.13,0.02,-3.62,1.41,-10.15,1.27,-2.37,4.16,-2.5,-1.76,-12.39
21,9.453333333333333,2.0005632781076024,November-2015,9.96,8.44,8.71,-4.55,4.09,9.95,2.67,-2.45,2.66,0.98,-5.61,-5.59,1.05,-5.59,6.77,-5.45,9.25,6.77,0.81,-3.38,0.98,3.18,-1.28,1.28,-0.26,-0.26,-1.28,1.28,-0.26,-1.28,1.28,-0.26,6.77,0.81,-3.38,8.71,0.1,4.19,1.07,-0.26,-2.88,6.77,0.76,9.95,0.81,2.69,-3.84,-1.42,-0.52,-5.59,3.18,-0.95,-2.13,9.25,17.81,1.28,1.05,-2.54,8.44,8.71,0.1,4.19,1.07,-0.26,-2.88,6.77,0.76,9.95,0.81,2.69,-3.84,-1.42,-0.52,-5.59,3.18,-0.95,-2.13,9.25,17.81,1.28,1.05,-2.54,8.44
22,-2.9133333333333336,-2.663595763656399,December-2015,-3.36,-2.02,0.04,0.27,-1.61,-0.28,-2.09,-3.78,0.78,-2.57,-9.19,10.4,4.62,-3.86,-12.82,-1.85,2.83,-12.82,-14.18,0.6,-2.57,-3.73,-1.08,-11.37,1.88,1.88,-1.08,-11.37,1.88,-1.08,-11.37,1.88,-12.82,-14.18,0.6,0.04,2.25,-1.48,-11.35,1.88,-0.84,-12.82,0.66,-0.28,-14.18,-7.23,1.21,-5.16,-3.81,10.4,-3.73,-6.54,-4.61,2.83,-12.22,4.13,4.62,4.55,-2.02,0.04,2.25,-1.48,-11.35,1.88,-0.84,-12.82,0.66,-0.28,-14.18,-7.23,1.21,-5.16,-3.81,10.4,-3.73,-6.54,-4.61,2.83,-12.22,4.13,4.62,4.55,-2.02
23,2.6133333333333337,4.824228122417392,January-2016,8.71,-9.58,6.57,4.91,14.77,20.6,7.56,4.32,-1.47,5.94,1.74,19.81,11.99,-4.53,3.66,6.43,18.38,3.66,-2.51,2.63,5.94,6.74,9.6,2.54,-1.23,-1.23,9.6,2.54,-1.23,9.6,2.54,-1.23,3.66,-2.51,2.63,6.57,-0.25,-5.46,15.79,-1.23,11.22,3.66,-2.3,20.6,-2.51,7.17,-0.13,1.7,5.03,19.81,6.74,5.27,-2.22,18.38,-6.47,9.2,11.99,2.47,-9.58,6.57,-0.25,-5.46,15.79,-1.23,11.22,3.66,-2.3,20.6,-2.51,7.17,-0.13,1.7,5.03,19.81,6.74,5.27,-2.22,18.38,-6.47,9.2,11.99,2.47,-9.58
24,2.6133333333333333,5.57816822475954,February-2016,3.78,0.28,3.81,2.46,-9.34,1.19,6.04,10.36,2.09,13.83,-0.32,11.98,17.43,11.86,0.38,8.44,7.8,0.38,-6.3,2.77,13.83,9.85,4.9,15.82,6.19,6.19,4.9,15.82,6.19,4.9,15.82,6.19,0.38,-6.3,2.77,3.81,7.36,6.96,1.11,6.19,20.86,0.38,-3.52,1.19,-6.3,2.88,13.94,2.34,7.64,11.98,9.85,-1.58,6.62,7.8,2.06,8.06,17.43,7.42,0.28,3.81,7.36,6.96,1.11,6.19,20.86,0.38,-3.52,1.19,-6.3,2.88,13.94,2.34,7.64,11.98,9.85,-1.58,6.62,7.8,2.06,8.06,17.43,7.42,0.28
25,-20.346666666666668,-12.605760243483319,March-2016,-23.25,-14.54,-23.89,-17.75,-10.78,-26.89,-9.35,-16.46,-16.62,-5.79,-16.9,-22.66,-24.5,-6.92,-28.26,-7.13,-26.31,-28.26,-13.81,6.17,-5.79,-4.14,-4.77,-7.6,-0.22,-0.22,-4.77,-7.6,-0.22,-4.77,-7.6,-0.22,-28.26,-13.81,6.17,-23.89,-8.36,-12.38,-7.15,-0.22,-14.69,-28.26,-0.94,-26.89,-13.81,-16.01,-17.12,-2.37,-8.05,-22.66,-4.14,-4.78,-8.14,-26.31,4.16,-18.47,-24.5,-10.9,-14.54,-23.89,-8.36,-12.38,-7.15,-0.22,-14.69,-28.26,-0.94,-26.89,-13.81,-16.01,-17.12,-2.37,-8.05,-22.66,-4.14,-4.78,-8.14,-26.31,4.16,-18.47,-24.5,-10.9,-14.54
